,plant_id,name,scientific_name,soil_moisture,temperature,recording_taken,last_watered,botanist_name,botanist_email,botanist_phone,origin_city,origin_country,origin_latitude,origin_longitude,image_license_url,image_original_url,image_thumbnail
12,14,Colocasia Esculenta,Colocasia esculenta,90.2772932972441,15.739024486457078,2026-01-27T16:11:57.270013,2026-01-27T13:27:19,Joshua Jones,joshua.jones@lnhm.co.uk,+1-736-693-0793x86426,Watsontown,Nicaragua,-18.6871435,57.450992,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/2015_colocasia_esculenta/og/24325097844_14719030a3_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T095523Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=2deb7c1a3930dee9ccc962f852eb837e9ada930f22773f7779beb24d1c96580c,https://s3.us-central-1.wasabisys.com/perenual/species_image/2015_colocasia_esculenta/thumbnail/24325097844_14719030a3_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T095523Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=f4579055e3d23a63a294faa87333e48a508ed2e657ed6fb4de38b2faf07bdbc6
13,15,Cuphea ‘David Verity’,,90.71026257296768,12.784005590276413,2026-01-27T16:11:58.821917,2026-01-27T13:33:54,Alexis Kaufman,alexis.kaufman@lnhm.co.uk,(356)716-8148x0222,Leeville,Cayman Islands,-62.5511245,-161.813034,,,
14,16,Euphorbia Cotinifolia,Euphorbia cotinifolia,84.95702205142857,14.961017014706183,2026-01-27T16:12:00.084568,2026-01-27T13:16:30,Rebekah King,rebekah.king@lnhm.co.uk,(638)372-7752x12887,West Melanie,Niue,64.383879,92.902187,https://creativecommons.org/licenses/by-sa/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/2868_euphorbia_cotinifolia/og/51952243235_061102bd05_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151052Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=4564659a74b77120262ef76e6f36964d641bfdfee27cedb2511715dc6d0e9697,https://s3.us-central-1.wasabisys.com/perenual/species_image/2868_euphorbia_cotinifolia/thumbnail/51952243235_061102bd05_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151052Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=93bf7de72460904d7ce213c1488ec22099233c449c5317338dc7386b2e52a9f2
15,17,Ipomoea Batatas,Ipomoea batatas,93.190787093,14.216900531723061,2026-01-27T16:12:01.212911,2026-01-27T14:18:32,James Underwood,james.underwood@lnhm.co.uk,+1-463-529-8946x478,Leebury,Swaziland,2.146164,56.967894,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091529Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=527077226627cc6bbb414f7c94d3208c7f308c0f06fffb83c26e96d5e792a7de,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091529Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=527077226627cc6bbb414f7c94d3208c7f308c0f06fffb83c26e96d5e792a7de
16,18,Manihot Esculenta ‘Variegata’,,94.41476927968597,15.935503562344309,2026-01-27T16:12:01.350108,2026-01-27T14:37:10,Daniel Coffey,daniel.coffey@lnhm.co.uk,5922020840,Lake Tyler,Israel,-39.502295,-0.109342,,,
17,19,Musa Basjoo,Musa basjoo,95.28908213757116,15.214005962662258,2026-01-27T16:12:02.307432,2026-01-27T14:49:17,John Rodriguez,john.rodriguez@lnhm.co.uk,(382)420-0455x075,Gonzalezhaven,Congo,-67.269697,102.225776,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151057Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=aaec028d108c33dfd2161bd9743b77044ef534fda7c5f631d92288a2227306fd,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151057Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=aaec028d108c33dfd2161bd9743b77044ef534fda7c5f631d92288a2227306fd
18,20,Salvia Splendens,Salvia splendens,94.29286633146592,15.871055192463938,2026-01-27T16:12:03.340163,2026-01-27T14:30:11,Jeffrey Sanchez,jeffrey.sanchez@lnhm.co.uk,4225817412,New Yolanda,Morocco,-23.4958555,-16.242039,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151059Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=daf3709d1d753bd23f05633c991463e52745f3433e6a3e7b0a182008278e160a,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151059Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=daf3709d1d753bd23f05633c991463e52745f3433e6a3e7b0a182008278e160a
19,21,Anthurium,Anthurium andraeanum,95.43832543906977,14.951979819939906,2026-01-27T16:12:03.800157,2026-01-27T14:50:20,Angela Myers,angela.myers@lnhm.co.uk,3838163814,West Kevinburgh,Macao,-69.5795405,-54.074219,https://creativecommons.org/licenses/by-sa/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/855_anthurium_andraeanum/og/49388458462_0ef650db39_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151702Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=9c9bc51976c550cd4110d24ff70ef0aaf7a62d93495cb82fcf6d78808f2679d7,https://s3.us-central-1.wasabisys.com/perenual/species_image/855_anthurium_andraeanum/thumbnail/49388458462_0ef650db39_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151702Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=542cf8d19627f36b8bce5914a107314d4cbb7c0c740e9cc069ad620d6c93d9fd
20,22,Bird of Paradise,Heliconia schiedeana 'Fire and Ice',94.22209667430279,14.808872123792133,2026-01-27T16:12:05.014943,2026-01-27T14:35:24,Andrew Gentry,andrew.gentry@lnhm.co.uk,+1-865-953-8002x162,East Rebecca,Angola,-34.9328045,150.371647,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151244Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=562927637750e630713f9ad7376f92fd3e6bd7e67d5c26547cd3de6043d96ed2,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151244Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=562927637750e630713f9ad7376f92fd3e6bd7e67d5c26547cd3de6043d96ed2
21,23,Cordyline Fruticosa,Cordyline fruticosa,94.30954928861004,12.640368640799103,2026-01-27T16:12:05.306943,2026-01-27T14:33:50,Clarence Frazier,clarence.frazier@lnhm.co.uk,(207)200-7842x16626,Mortonborough,Luxembourg,-31.6079135,-83.850347,https://creativecommons.org/licenses/by-sa/3.0/deed.en,https://s3.us-central-1.wasabisys.com/perenual/species_image/2045_cordyline_fruticosa/og/2560px-Cordyline_fruticosa_Rubra_1.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151246Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=58c29c38d97f98b0e8a9ae71afddb475d435b08a0e68c9e6754456417dc519f0,https://s3.us-central-1.wasabisys.com/perenual/species_image/2045_cordyline_fruticosa/thumbnail/2560px-Cordyline_fruticosa_Rubra_1.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151246Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=efb2a04ab36557df3212fd1adfaf010b547b36ba86c0004a1f0c307e6f891273
22,24,Ficus,Ficus carica,92.6385785193214,12.427380949088258,2026-01-27T16:12:06.468196,2026-01-27T14:01:56,Laura Curtis,laura.curtis@lnhm.co.uk,(382)979-3257x31313,Lake Alexandraside,Chile,41.085675,-4.167175,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/288_ficus_carica/og/52377169610_b7a247a378_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151105Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=6b1568f9896439517a2bdf81e657143d7b88220a713ca8f63c4eadf82dc6246c,https://s3.us-central-1.wasabisys.com/perenual/species_image/288_ficus_carica/thumbnail/52377169610_b7a247a378_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151105Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=3493e4b14f71103dd3d7ec6e5db77bd41607c2d66f625b16be5f981f1d27ab75
23,25,Palm Trees,,91.39108318399263,16.533238480736948,2026-01-27T16:12:06.892583,2026-01-27T13:36:09,Larry Coleman,larry.coleman@lnhm.co.uk,(799)359-7652x4467,Farmerberg,Isle of Man,76.6820215,164.980551,,,
24,26,,,,,,,,,,,,,,,,
25,27,Spathiphyllum,Spathiphyllum (group),90.58332745689655,15.916227246124405,2026-01-27T16:12:08.006140,2026-01-27T13:28:17,Paul Wells,paul.wells@lnhm.co.uk,363.797.6625,Ruizmouth,Niger,21.876417,-31.458582,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151252Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=1b4025381f206147a8471d9939e2aa1d88026446965c610c309f5c844f752016,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151252Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=1b4025381f206147a8471d9939e2aa1d88026446965c610c309f5c844f752016
26,28,Croton,Codiaeum variegatum,89.98902350096154,14.250496043800808,2026-01-27T16:12:09.415563,2026-01-27T13:18:38,Katherine Hunt,katherine.hunt@lnhm.co.uk,+1-263-878-8630x362,Mallorymouth,Cocos (Keeling) Islands,9.707351,72.816634,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/1999_codiaeum_variegatum/og/29041866364_2c535b2297_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151711Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=61e905be1938e28b0cbf4e09a31b1f84199ec53e4b53a690c1e26a9c73a0b710,https://s3.us-central-1.wasabisys.com/perenual/species_image/1999_codiaeum_variegatum/thumbnail/29041866364_2c535b2297_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151711Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=448930d44c990cbdb7b78d8c41b46570085ce611f20c116fce76825e968e3e59
27,29,Aloe Vera,Aloe vera,92.6736087247619,12.231436824986542,2026-01-27T16:12:10.710843,2026-01-27T14:03:58,Melissa Walker,melissa.walker@lnhm.co.uk,(762)519-1584,West Jacobfort,Djibouti,36.0357895,148.718821,https://creativecommons.org/licenses/by-sa/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/728_aloe_vera/og/52619084582_6ebcfe6a74_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091600Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=010188d776da4cf812189c504a080fe79f895fb8b9838390a8965ff136b688c0,https://s3.us-central-1.wasabisys.com/perenual/species_image/728_aloe_vera/thumbnail/52619084582_6ebcfe6a74_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091600Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=c56d708e00ed27bdb954713c526f05c3a2c186dc9c5cb2de421a7bfc473a1679
28,30,Ficus Elastica,Ficus elastica,89.28348744682836,13.999425788723203,2026-01-27T16:12:11.101460,2026-01-27T13:00:43,Kathleen Alvarado,kathleen.alvarado@lnhm.co.uk,855.609.7979,Lake Nicolefort,Greece,47.3941165,-24.434894,https://creativecommons.org/licenses/by-sa/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/2961_ficus_elastica/og/533092219_8da73ba0d2_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T144845Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=b8a20061d694c394cc87704d9fb6d28ce14626444fcc8e171b4c6c29158f7c14,https://s3.us-central-1.wasabisys.com/perenual/species_image/2961_ficus_elastica/thumbnail/533092219_8da73ba0d2_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T144845Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=e252e5d9cc304492436b33f8b7d195118ad1239d1df3909e0d657cfab0ab00bd
